|        in        |   out   |
| 0000000000000001 | 1111110 |
| 0000000000000010 | 0110000 |
| 0000000000000100 | 1101101 |
| 0000000000001000 | 1111001 |
| 0000000000010000 | 0110011 |
| 0000000000100000 | 1011011 |
| 0000000001000000 | 1011111 |
| 0000000010000000 | 1110010 |
| 0000000100000000 | 1111111 |
| 0000001000000000 | 1111011 |
| 0000010000000000 | 1111101 |
| 0000100000000000 | 0011111 |
| 0001000000000000 | 0001101 |
| 0010000000000000 | 0111101 |
| 0100000000000000 | 1101111 |
| 1000000000000000 | 1000111 |
